175 131 79 121 117
176 131 84 117 125
177 128 124 98 116
178 132 89 48 94
179 132 94 48 52
180 133 54 46 103
181 131 73 84 65
182 129 122 112 114
183 130 59 51 49
184 106 63 34 104
185 133 108 46 50
186 133 46 108 103
187 130 49 80 75
188 134 119 115 62
189 130 64 59 70
190 128 72 116 121
191 132 48 74 53
192 129 120 86 114
193 128 81 72 78
194 133 52 46 88
195 132 85 128 87
196 130 51 45 49
197 129 95 86 92
198 130 80 74 71
199 107 112 118 114
200 120 98 116 93
201 121 117 79 84
202 128 77 72 79
203 129 93 91 86
204 133 99 129 102
205 134 119 113 115
206 131 65 117 119
207 73 38 84 69
208 134 107 100 118
209 55 17 110 101
210 88 14 54 96
211 82 56 11 74
212 90 43 111 92
213 40 76 78 97
214 131 73 65 64
215 127 58 60 63
216 106 63 60 34
217 59 49 57 20
218 127 58 63 61
219 55 17 101 47
220 88 14 46 54
221 56 74 48 11
222 134 106 100 105
223 128 87 85 93
224 49 80 57 9
225 56 48 94 12
226 46 108 54 15
227 43 102 111 92
228 40 97 78 87
229 131 71 79 73
230 129 102 99 107
231 102 95 92 44
232 81 41 78 87
233 132 82 89 76
234 130 71 83 75
235 130 80 49 53
236 130 49 45 53
237 134 100 107 105
238 133 96 103 90
239 132 82 76 74
240 134 100 115 118
241 59 57 70 20
242 62 123 67 21
243 133 88 96 90
244 18 55 68 47
245 134 115 113 118
246 132 74 76 77
247 80 75 57 9
248 89 56 94 12
249 108 54 15 103
250 133 88 90 91
251 127 104 105 101
252 132 76 89 97
253 107 100 118 31
254 120 86 28 93
255 72 121 79 25
256 61 18 55 68
257 62 115 123 21
258 102 112 95 44
259 98 81 87 41
260 130 80 71 75
261 133 90 103 111
262 115 100 123 32
263 124 72 26 116
264 122 86 29 114
265 104 61 33 110
266 131 79 84 73
267 63 104 61 33
268 73 38 65 64
269 107 112 31 118
270 121 25 84 79
271 120 28 98 93
272 128 98 87 93
273 67 109 106 35
274 129 102 107 112
275 117 23 65 125
276 131 65 66 64
277 128 77 78 72
278 17 101 47 50
279 74 11 53 48
280 52 88 14 46
281 129 86 91 92
282 59 51 49 20
283 65 119 62 22
284 19 68 59 51
285 94 13 52 88
286 74 10 80 53
287 108 16 50 101
288 132 85 89 94
289 120 86 114 29
290 115 100 32 118
291 72 121 26 116
292 133 108 99 103
293 19 59 20 51
294 67 106 60 35
295 30 112 114 118
296 121 117 84 24
297 120 98 27 116
298 13 52 88 14
299 74 11 10 53
300 16 17 50 101
301 132 97 89 85
302 46 108 15 50
303 48 94 12 52
304 49 80 9 53
305 30 122 114 112
306 124 98 116 27
307 117 84 24 125
308 117 23 119 65
309 133 111 103 99
310 89 82 56 2
311 3 54 96 103
312 61 55 4 110
313 123 67 5 109
314 100 32 109 123
315 122 95 29 86
316 124 81 26 72
317 1 75 57 70
318 18 47 68 51
319 30 112 118 31
320 121 25 24 84
321 120 28 27 98
322 89 82 39 76
323 42 96 90 103
324 69 23 125 65
325 23 65 22 119
326 108 16 15 50
327 10 80 53 9
328 94 13 12 52
329 18 19 51 68
330 119 62 21 115
331 1 75 70 36
332 42 103 90 111
333 89 39 97 76
334 120 86 29 28
335 72 121 25 26
336 100 118 31 32
337 8 122 112 95
338 124 98 7 81
339 61 33 110 4
340 89 82 2 39
341 3 42 103 96
342 69 84 125 6
343 73 38 64 37
344 73 37 64 83
345 106 35 34 60
346 8 112 44 95
347 98 7 81 41
348 37 83 36 70
349 119 22 21 62
350 63 104 33 34
351 1 57 20 70
352 67 5 109 35
353 42 90 43 111
354 39 40 97 76
355 3 54 103 15
356 1 75 9 57
357 89 56 12 2
358 37 83 70 64
359 40 41 87 78
360 43 102 92 44
361 61 18 4 55
362 38 69 6 84
363 32 123 5 109
364 123 67 21 5
365 83 75 36 70
366 8 122 95 29
367 124 7 26 81
368 55 4 110 17
369 69 6 125 23
370 14 3 54 96
371 82 56 2 11
372 8 30 112 122
373 84 24 125 6
374 124 98 27 7
