116 132 128 76 78
117 128 72 119 79
118 132 128 97 87
119 133 85 88 91
120 129 121 93 86
121 128 87 81 78
122 129 92 101 95
123 133 129 111 101
124 127 61 104 110
125 133 129 90 92
126 131 66 130 64
127 134 67 60 62
128 132 73 49 57
129 131 64 83 74
130 127 52 46 102
131 134 105 127 106
132 130 64 66 59
133 130 83 64 70
134 133 88 48 56
135 131 62 66 65
136 131 118 62 65
137 132 89 82 57
138 128 72 125 117
139 132 76 128 77
140 130 75 83 70
141 129 86 124 116
142 131 119 113 115
143 131 115 113 118
144 133 56 103 96
145 132 73 130 51
146 131 65 84 123
147 127 104 61 63
148 127 58 61 68
149 133 90 129 91
150 128 98 93 117
151 114 67 62 122
152 134 122 114 100
153 129 112 107 116
154 134 120 129 107
155 47 80 75 55
156 48 108 103 56
157 89 49 94 57
158 127 58 66 60
159 128 121 117 93
160 127 99 102 105
161 129 116 107 120
162 61 54 46 68
163 131 65 123 115
164 127 106 105 104
165 131 84 79 115
166 132 97 85 87
167 128 98 81 87
168 130 47 75 55
169 129 101 112 95
170 127 110 104 102
171 132 89 57 49
172 38 69 74 65
173 133 111 99 101
174 130 51 73 80
175 131 119 115 79
176 131 123 84 115
177 128 125 98 117
178 132 89 49 94
179 132 94 49 53
180 133 56 48 103
181 131 84 65 74
182 129 124 112 116
183 130 50 47 59
184 106 34 104 63
185 133 108 48 52
186 133 48 108 103
187 130 47 80 75
188 134 118 114 62
189 130 70 64 59
190 128 72 117 119
191 132 73 51 49
192 129 116 121 86
193 128 78 81 72
194 133 88 53 48
195 132 85 128 87
196 130 50 45 47
197 129 92 95 86
198 130 80 73 71
199 119 79 84 115
200 107 112 120 116
201 121 98 117 93
202 128 77 72 79
203 129 93 91 86
204 133 99 129 101
205 134 118 113 114
206 131 118 65 115
207 38 84 74 69
208 134 120 107 100
209 82 73 57 11
210 110 54 17 102
211 88 14 56 96
212 97 76 40 78
213 111 43 92 90
214 131 65 64 74
215 127 60 63 58
216 106 60 34 63
217 20 47 59 55
